method,eps,cumsum_opers,log_errs
aespappr,1e-7,65507,-6.637998267637314
aespappr,1e-7,89334,-6.637998267637314
aespappr,1e-7,122501,-6.637998267637314
aespappr,1e-7,162751,-6.637998267637314
aespappr,1e-7,210733,-6.637998267637314
aespappr,1e-7,285826,-6.9337497390387774
aespappr,1e-7,365469,-6.994307901448971
aespappr,1e-7,463839,-6.994307901448971
aespappr,1e-7,590317,-6.994307901448971
aespappr,1e-7,749163,-6.994307901448971
aespappr,1e-7,934231,-6.994307901448971
aespappr,1e-7,1189025,-7.224253040804932
aespappr,1e-7,1502247,-7.362671190897884
aespappr,1e-7,1855625,-7.439798311260061
aespappr,1e-7,2337358,-7.625899395875793
aespappr,1e-7,2949623,-7.733787556166756
aespappr,1e-7,3727352,-7.7924358097493736
aesplocgd,1e-7,1,-1.4912931698463163
aesplocgd,1e-7,2,-1.4912931698463163
aesplocgd,1e-7,5,-1.7507649289185856
aesplocgd,1e-7,7,-2.157378786034406
aesplocgd,1e-7,8,-2.2689623953499307
aesplocgd,1e-7,11,-2.2689623953499307
aesplocgd,1e-7,14,-2.2689623953499307
aesplocgd,1e-7,15,-2.2689623953499307
aesplocgd,1e-7,18,-2.2689623953499307
aesplocgd,1e-7,21,-2.2689623953499307
aesplocgd,1e-7,24,-2.2689623953499307
aesplocgd,1e-7,27,-2.2689623953499307
aesplocgd,1e-7,28,-2.2689623953499307
aesplocgd,1e-7,116,-2.7096934590084203
aesplocgd,1e-7,117,-3.033930781326967
aesplocgd,1e-7,120,-3.2464902169813596
aesplocgd,1e-7,127,-3.3725295304541096
aesplocgd,1e-7,223,-3.7530128472318407
aesplocgd,1e-7,308,-4.016322037504919
aesplocgd,1e-7,374,-4.179564160270513
aesplocgd,1e-7,637,-4.51516535491535
aesplocgd,1e-7,863,-4.7375473663863925
aesplocgd,1e-7,1220,-4.8705351568284305
aesplocgd,1e-7,1708,-5.173544638098297
aesplocgd,1e-7,2152,-5.5683602599248125
aesplocgd,1e-7,2977,-5.845505063643148
aesplocgd,1e-7,3668,-6.019476026934026
aesplocgd,1e-7,4961,-6.146178585904681
aesplocgd,1e-7,6887,-6.146178585904681
aesplocgd,1e-7,9555,-6.171478370193973
aesplocgd,1e-7,13242,-6.171478370193973
aesplocgd,1e-7,18090,-6.171478370193973
aesplocgd,1e-7,25374,-6.2407011649365876
aesplocgd,1e-7,37054,-6.526909554454501
aesplocgd,1e-7,49351,-6.637998267637314
aesplocgd,1e-7,66776,-6.637998267637314
aesplocgd,1e-7,90759,-6.637998267637314
aesplocgd,1e-7,124819,-6.637998267637314
aesplocgd,1e-7,166108,-6.637998267637314
aesplocgd,1e-7,218223,-6.637998267637314
aesplocgd,1e-7,292440,-6.9300308937738775
aesplocgd,1e-7,374874,-6.994307901448971
aesplocgd,1e-7,479089,-6.994307901448971
aesplocgd,1e-7,611193,-6.994307901448971
aesplocgd,1e-7,770074,-6.994307901448971
aesplocgd,1e-7,960420,-6.994307901448971
aesplocgd,1e-7,1223305,-7.223740460784448
aesplocgd,1e-7,1544629,-7.361788341226789
aesplocgd,1e-7,1912131,-7.438685863650578
aesplocgd,1e-7,2409746,-7.623977988881554
aesplocgd,1e-7,3041668,-7.731323797227783
aesplocgd,1e-7,3861811,-7.901180468616584
aesplocgd,1e-7,4862580,-7.998316550834695
locgd,1e-7,1,-1.2950033898639888
locgd,1e-7,3,-1.4912931698463163
locgd,1e-7,90,-2.2689623953499307
locgd,1e-7,1234,-2.572806255590254
locgd,1e-7,36711,-3.1567714973697734
locgd,1e-7,157711,-3.651567705273106
locgd,1e-7,326786,-4.142264999162362
locgd,1e-7,548580,-4.728804926391589
locgd,1e-7,790753,-5.1523985211378704
locgd,1e-7,1039090,-5.804855768929637
locgd,1e-7,1284695,-6.166094573737563
locgd,1e-7,1525735,-6.879731895706181
locgd,1e-7,1756559,-7.172479749076224
locgd,1e-7,1971811,-7.308585498097008
locgd,1e-7,2145608,-7.781903935257254
locgd,1e-7,2307432,-7.781903935257254
locgd,1e-7,2439379,-7.781903935257254
locgd,1e-7,2544487,-7.781903935257254
locgd,1e-7,2637764,-7.781903935257254
locgd,1e-7,2703570,-7.781903935257254
locgd,1e-7,2751120,-7.781903935257254
locgd,1e-7,2785574,-7.781903935257254
locgd,1e-7,2809200,-7.781903935257254
locgd,1e-7,2825210,-7.781903935257254
locgd,1e-7,2835532,-7.781903935257254
locgd,1e-7,2841813,-7.781903935257254
locgd,1e-7,2845574,-7.781903935257254
locgd,1e-7,2848208,-7.781903935257254
locgd,1e-7,2849542,-7.781903935257254
locgd,1e-7,2850799,-7.781903935257254
locgd,1e-7,2851393,-7.781903935257254
locgd,1e-7,2851801,-7.781903935257254
locgd,1e-7,2852112,-7.781903935257254
locgd,1e-7,2852320,-7.781903935257254
locgd,1e-7,2852388,-7.781903935257254
locgd,1e-7,2852438,-7.781903935257254
appr,1e-7,1,-1.2950033898639888
appr,1e-7,4,-1.4912931698463163
appr,1e-7,93,-1.7143463148664646
appr,1e-7,1324,-1.7143463148664646
appr,1e-7,18369,-2.0026866763982194
appr,1e-7,46840,-2.0026866763982194
appr,1e-7,102989,-2.3140061412352653
appr,1e-7,192262,-2.6338633548554635
appr,1e-7,307178,-2.956916687996364
appr,1e-7,452800,-3.2811337260164555
appr,1e-7,624094,-3.605735374393364
appr,1e-7,819176,-3.930424238338393
appr,1e-7,1032926,-4.255088654954849
appr,1e-7,1275013,-4.579688239527965
appr,1e-7,1526477,-4.904209522021409
appr,1e-7,1769355,-5.228648769048664
appr,1e-7,2018282,-5.553005359357774
appr,1e-7,2281187,-5.877279251911103
appr,1e-7,2526724,-6.201470025396485
appr,1e-7,2757852,-6.525576516775041
appr,1e-7,2981625,-6.544797871383311
appr,1e-7,3188477,-6.8489887000509135
appr,1e-7,3389193,-7.152836129940709
appr,1e-7,3566114,-7.385691704520261
appr,1e-7,3729824,-7.385691704520261
appr,1e-7,3875442,-7.385691704520261
appr,1e-7,4001562,-7.385691704520261
appr,1e-7,4110770,-7.385691704520261
appr,1e-7,4205816,-7.385691704520261
appr,1e-7,4285962,-7.385691704520261
appr,1e-7,4352768,-7.385691704520261
appr,1e-7,4411569,-7.385691704520261
appr,1e-7,4457030,-7.385691704520261
appr,1e-7,4496329,-7.385691704520261
appr,1e-7,4528402,-7.385691704520261
appr,1e-7,4552400,-7.385691704520261
appr,1e-7,4569828,-7.385691704520261
appr,1e-7,4581362,-7.385691704520261
appr,1e-7,4590014,-7.385691704520261
appr,1e-7,4596277,-7.385691704520261
appr,1e-7,4601182,-7.385691704520261
appr,1e-7,4618016,-7.385691704520261
appr,1e-7,4622901,-7.624312035414706
appr,1e-7,4625605,-7.624312035414706
appr,1e-7,4627066,-7.624312035414706
appr,1e-7,4628235,-7.624312035414706
appr,1e-7,4629106,-7.624312035414706
appr,1e-7,4629605,-7.624312035414706
appr,1e-7,4629852,-7.624312035414706
appr,1e-7,4629955,-7.624312035414706
appr,1e-7,4630014,-7.624312035414706
appr,1e-7,4630025,-7.624312035414706
appr,1e-7,4630028,-7.624312035414706
appr,1e-7,4630031,-7.624312035414706
appr,1e-7,4630034,-7.624312035414706
appr,1e-7,4630037,-7.624312035414706
appr,1e-7,4630040,-7.624312035414706
appr,1e-7,4630043,-7.624312035414706
appr,1e-7,4630046,-7.624312035414706
appr,1e-7,4630049,-7.624312035414706
appr,1e-7,4630050,-7.624312035414706
appr,1e-7,4630052,-7.624312035414706
appr,1e-7,4630053,-7.624312035414706
appropt,1e-7,1,-1.2950033898639888
appropt,1e-7,3,-1.4912931698463163
appropt,1e-7,90,-2.2689623953499307
appropt,1e-7,1234,-2.572806255590254
appropt,1e-7,61114,-3.1567714973697734
appropt,1e-7,369405,-3.651567705273107
appropt,1e-7,1057331,-4.545385582049164
appropt,1e-7,1997764,-5.622503989176404
appropt,1e-7,3101851,-6.698239732136307
appropt,1e-7,4237345,-7.7725495037011125
appropt,1e-7,5365976,-8.165014389702135
appropt,1e-7,6409874,-8.37672451990048
appropt,1e-7,7352312,-8.573932489969815
appropt,1e-7,8150406,-8.743180840366254
appropt,1e-7,8839629,-8.743180840366254
appropt,1e-7,9391218,-8.88499818830886
appropt,1e-7,9839925,-9.000480754745224
appropt,1e-7,10178944,-9.088994479359517
appropt,1e-7,10444945,-9.152854581663505
appropt,1e-7,10621463,-9.152854581663505
appropt,1e-7,10763593,-9.195976768342295
appropt,1e-7,10865598,-9.195976768342295
appropt,1e-7,10931149,-9.22764190662019
appropt,1e-7,10982770,-9.22764190662019
appropt,1e-7,11009512,-9.22764190662019
appropt,1e-7,11024672,-9.22764190662019
appropt,1e-7,11039823,-9.22764190662019
appropt,1e-7,11045808,-9.22764190662019
appropt,1e-7,11062187,-9.22764190662019
appropt,1e-7,11069679,-9.22764190662019
appropt,1e-7,11090119,-9.22764190662019
appropt,1e-7,11092077,-9.249679832469564
appropt,1e-7,11094732,-9.249679832469564
appropt,1e-7,11095787,-9.249679832469564
appropt,1e-7,11096540,-9.249679832469564
appropt,1e-7,11097105,-9.249679832469564
appropt,1e-7,11097769,-9.249679832469564
appropt,1e-7,11097890,-9.249679832469564
appropt,1e-7,11098213,-9.249679832469564
appropt,1e-7,11098282,-9.249679832469564
appropt,1e-7,11098541,-9.249679832469564
appropt,1e-7,11098578,-9.249679832469564
appropt,1e-7,11098634,-9.249679832469564
appropt,1e-7,11098661,-9.249679832469564
aespappr,1e-8,1,-1.4912931698463163
aespappr,1e-8,2,-1.4912931698463163
aespappr,1e-8,5,-1.7507649289185856
aespappr,1e-8,7,-2.157378786034406
aespappr,1e-8,8,-2.2689623953499307
aespappr,1e-8,11,-2.2689623953499307
aespappr,1e-8,14,-2.2689623953499307
aespappr,1e-8,15,-2.2689623953499307
aespappr,1e-8,18,-2.2689623953499307
aespappr,1e-8,21,-2.2689623953499307
aespappr,1e-8,24,-2.2689623953499307
aespappr,1e-8,27,-2.2689623953499307
aespappr,1e-8,116,-2.7062310199341058
aespappr,1e-8,119,-3.026761391226805
aespappr,1e-8,121,-3.2361612876573687
aespappr,1e-8,130,-3.359990158033834
aespappr,1e-8,225,-3.746632995114336
aespappr,1e-8,311,-4.015840539195172
aespappr,1e-8,377,-4.183624346732304
aespappr,1e-8,637,-4.5214866749502285
aespappr,1e-8,865,-4.745848143568863
aespappr,1e-8,1211,-4.880250386178106
aespappr,1e-8,1708,-5.196944236166525
aespappr,1e-8,2037,-5.403096886043946
aespappr,1e-8,2924,-5.739469186996921
aespappr,1e-8,3795,-6.14338865566872
aespappr,1e-8,5013,-6.146178585904681
aespappr,1e-8,6767,-6.146178585904681
aespappr,1e-8,9383,-6.171478370193973
aespappr,1e-8,12844,-6.171478370193973
aespappr,1e-8,17631,-6.171478370193973
aespappr,1e-8,25152,-6.2407011649365876
aespappr,1e-8,36686,-6.528233178201944
aespappr,1e-8,48356,-6.637998267637314
aespappr,1e-8,65507,-6.637998267637314
aespappr,1e-8,89334,-6.637998267637314
aespappr,1e-8,122501,-6.637998267637314
aespappr,1e-8,162751,-6.637998267637314
aespappr,1e-8,210733,-6.637998267637314
aespappr,1e-8,285826,-6.9337497390387774
aespappr,1e-8,365469,-6.994307901448971
aespappr,1e-8,463839,-6.994307901448971
aespappr,1e-8,590317,-6.994307901448971
aespappr,1e-8,749163,-6.994307901448971
aespappr,1e-8,934231,-6.994307901448971
aespappr,1e-8,1189025,-7.224253040804932
aespappr,1e-8,1502247,-7.362671190897884
aespappr,1e-8,1855625,-7.439798311260061
aespappr,1e-8,2337358,-7.625899395875793
aespappr,1e-8,2949623,-7.733787556166756
aespappr,1e-8,3727352,-7.7924358097493736
aespappr,1e-8,4711960,-7.942401445025659
aespappr,1e-8,6017017,-8.120229417275274
aespappr,1e-8,7522012,-8.31858628994185
aespappr,1e-8,9224002,-8.523415368727797
aespappr,1e-8,10936431,-8.644067356855748
aespappr,1e-8,12686689,-8.80524354319599
aespappr,1e-8,14370358,-8.992937770782776
aespappr,1e-8,16057427,-9.191370763448099
aespappr,1e-8,17714622,-9.40413981903622
aespappr,1e-8,19372492,-9.621041660018335
aesplocgd,1e-8,1,-1.4912931698463163
aesplocgd,1e-8,2,-1.4912931698463163
aesplocgd,1e-8,5,-1.7507649289185856
aesplocgd,1e-8,7,-2.157378786034406
aesplocgd,1e-8,8,-2.2689623953499307
aesplocgd,1e-8,11,-2.2689623953499307
aesplocgd,1e-8,14,-2.2689623953499307
aesplocgd,1e-8,15,-2.2689623953499307
aesplocgd,1e-8,18,-2.2689623953499307
aesplocgd,1e-8,21,-2.2689623953499307
aesplocgd,1e-8,24,-2.2689623953499307
aesplocgd,1e-8,27,-2.2689623953499307
aesplocgd,1e-8,28,-2.2689623953499307
aesplocgd,1e-8,116,-2.7096934590084203
aesplocgd,1e-8,117,-3.033930781326967
aesplocgd,1e-8,120,-3.2464902169813596
aesplocgd,1e-8,127,-3.3725295304541096
aesplocgd,1e-8,223,-3.7530128472318407
aesplocgd,1e-8,308,-4.016322037504919
aesplocgd,1e-8,374,-4.179564160270513
aesplocgd,1e-8,637,-4.51516535491535
aesplocgd,1e-8,863,-4.7375473663863925
aesplocgd,1e-8,1220,-4.8705351568284305
aesplocgd,1e-8,1708,-5.173544638098297
aesplocgd,1e-8,2152,-5.5683602599248125
aesplocgd,1e-8,2977,-5.845505063643148
aesplocgd,1e-8,3668,-6.019476026934026
aesplocgd,1e-8,4961,-6.146178585904681
aesplocgd,1e-8,6887,-6.146178585904681
aesplocgd,1e-8,9555,-6.171478370193973
aesplocgd,1e-8,13242,-6.171478370193973
aesplocgd,1e-8,18090,-6.171478370193973
aesplocgd,1e-8,25374,-6.2407011649365876
aesplocgd,1e-8,37054,-6.526909554454501
aesplocgd,1e-8,49351,-6.637998267637314
aesplocgd,1e-8,66776,-6.637998267637314
aesplocgd,1e-8,90759,-6.637998267637314
aesplocgd,1e-8,124819,-6.637998267637314
aesplocgd,1e-8,166108,-6.637998267637314
aesplocgd,1e-8,218223,-6.637998267637314
aesplocgd,1e-8,292440,-6.9300308937738775
aesplocgd,1e-8,374874,-6.994307901448971
aesplocgd,1e-8,479089,-6.994307901448971
aesplocgd,1e-8,611193,-6.994307901448971
aesplocgd,1e-8,770074,-6.994307901448971
aesplocgd,1e-8,960420,-6.994307901448971
aesplocgd,1e-8,1223305,-7.223740460784448
aesplocgd,1e-8,1544629,-7.361788341226789
aesplocgd,1e-8,1912131,-7.438685863650578
aesplocgd,1e-8,2409746,-7.623977988881554
aesplocgd,1e-8,3041668,-7.731323797227783
aesplocgd,1e-8,3861811,-7.901180468616584
aesplocgd,1e-8,4862580,-7.998316550834695
aesplocgd,1e-8,6196212,-8.148494512835947
aesplocgd,1e-8,7790616,-8.3196960395576
aesplocgd,1e-8,9564152,-8.503766756419132
aesplocgd,1e-8,11424110,-8.667814028213556
aesplocgd,1e-8,13316815,-8.801568823607207
aesplocgd,1e-8,15263636,-8.95373169669565
aesplocgd,1e-8,17236303,-9.13287396612261
aesplocgd,1e-8,19208668,-9.325283216508195
aesplocgd,1e-8,21180354,-9.520622168394436
aesplocgd,1e-8,23180043,-9.712781687149747
aesplocgd,1e-8,25178569,-9.921987371637565
locgd,1e-8,1,-1.2950033898639888
locgd,1e-8,3,-1.4912931698463163
locgd,1e-8,90,-2.2689623953499307
locgd,1e-8,1234,-2.572806255590254
locgd,1e-8,61331,-3.1567714973697734
locgd,1e-8,352277,-3.651567705273106
locgd,1e-8,984757,-4.142264999162362
locgd,1e-8,1911200,-4.728804926391589
locgd,1e-8,3121561,-5.152400338587389
locgd,1e-8,4513120,-5.804855802132228
locgd,1e-8,6016103,-6.166118382327337
locgd,1e-8,7569236,-6.87973239065429
locgd,1e-8,9116243,-7.172628824914546
locgd,1e-8,10630516,-7.953235769113954
locgd,1e-8,12099077,-8.163100034795539
locgd,1e-8,13518775,-8.416577612328677
locgd,1e-8,14869745,-8.547460804017376
locgd,1e-8,16093789,-8.740022016720221
locgd,1e-8,17273781,-8.740022016720221
locgd,1e-8,18260728,-9.050467475841385
locgd,1e-8,19127071,-9.050467475841385
locgd,1e-8,19808662,-9.238341501089279
locgd,1e-8,20396243,-9.321718135797722
locgd,1e-8,20816626,-9.321718135797722
locgd,1e-8,21173498,-9.321718135797722
locgd,1e-8,21487536,-9.321718135797722
locgd,1e-8,21740709,-9.321718135797722
locgd,1e-8,21938690,-9.522579693919065
locgd,1e-8,22085496,-9.522579693919065
locgd,1e-8,22186093,-9.522579693919065
locgd,1e-8,22263400,-9.522579693919065
locgd,1e-8,22317934,-9.522579693919065
locgd,1e-8,22354682,-9.522579693919065
locgd,1e-8,22386972,-9.522579693919065
locgd,1e-8,22411369,-9.522579693919065
locgd,1e-8,22429723,-9.522579693919065
locgd,1e-8,22443850,-9.522579693919065
locgd,1e-8,22452681,-9.522579693919065
locgd,1e-8,22457728,-9.522579693919065
locgd,1e-8,22461555,-9.522579693919065
locgd,1e-8,22464902,-9.522579693919065
locgd,1e-8,22467617,-9.522579693919065
locgd,1e-8,22469211,-9.522579693919065
locgd,1e-8,22470316,-9.522579693919065
locgd,1e-8,22471100,-9.522579693919065
locgd,1e-8,22471840,-9.522579693919065
locgd,1e-8,22472322,-9.522579693919065
locgd,1e-8,22472700,-9.522579693919065
locgd,1e-8,22473117,-9.522579693919065
locgd,1e-8,22473426,-9.522579693919065
locgd,1e-8,22473704,-9.522579693919065
locgd,1e-8,22473950,-9.522579693919065
locgd,1e-8,22474093,-9.522579693919065
locgd,1e-8,22474201,-9.522579693919065
locgd,1e-8,22474249,-9.522579693919065
locgd,1e-8,22474252,-9.522579693919065
locgd,1e-8,22474258,-9.522579693919065
appr,1e-8,1,-1.2950033898639888
appr,1e-8,4,-1.4912931698463163
