method,node,alpha,eps,runtime,Opertion
aespappr,797,0.001584893192461114,1e-08,67.87622513901442,442648098
aespappr,943,0.025118864315095808,1e-08,17.70826762728393,73430886
appr,193,0.01584893192461114,1e-08,55.46166163403541,387285350
locgd,654,0.039810717055349734,1e-08,24.19472846388817,92383600
aespappr,934,0.003981071705534978,1e-08,37.45043226424605,250048238
aesplocgd,654,0.01,1e-08,39.25547740794718,168551368
appr,725,0.06309573444801933,1e-08,5.739596399478614,51627405
appr,44,0.025118864315095808,1e-08,33.83708199765533,217193162
locgd,0,0.025118864315095808,1e-08,28.511965069919825,158606060
locgd,471,0.01584893192461114,1e-08,45.06357686314732,259064927
appr,567,0.003981071705534978,1e-08,275.03349321708083,1618357402
locgd,471,0.01,1e-08,82.06002951506525,423949703
appr,489,0.06309573444801933,1e-08,4.483326639980078,25103920
aespappr,541,0.06309573444801933,1e-08,5.029415270313621,20685634
appr,567,0.006309573444801936,1e-08,167.9422150142491,1012273103
aesplocgd,725,0.001,1e-08,97.2017574114725,581364454
aesplocgd,27,0.1,1e-08,5.251724285073578,26031362
aespappr,84,0.06309573444801933,1e-08,4.605415555648506,24332704
aesplocgd,996,0.01,1e-08,36.45088661368936,151437468
appr,922,0.01,1e-08,101.61735081393272,632273187
aesplocgd,67,0.1,1e-08,1.0791673567146063,7341352
aespappr,785,0.039810717055349734,1e-08,11.593402701430023,47048692
aespappr,541,0.001584893192461114,1e-08,132.01207541208714,449153935
aespappr,857,0.001,1e-08,216.61154820490628,567283278
locgd,68,0.01,1e-08,83.92137894127518,421670382
aespappr,27,0.001,1e-08,171.1647934615612,572000922
aesplocgd,101,0.001584893192461114,1e-08,81.22772698290646,464485005
appr,27,0.1,1e-08,6.174518556334078,36454982
appr,0,0.025118864315095808,1e-08,41.32361261174083,240169907
appr,391,0.025118864315095808,1e-08,35.29590983875096,232309285
aespappr,489,0.06309573444801933,1e-08,2.042952364310622,14066631
aespappr,489,0.001,1e-08,224.57775902934372,564984625
locgd,67,0.001,1e-08,488.2587963864207,4413374402
appr,471,0.003981071705534978,1e-08,258.38999321032315,1618184781
locgd,0,0.1,1e-08,5.41745287925005,21222919
aesplocgd,567,0.1,1e-08,2.000473054125905,17691817
locgd,661,0.025118864315095808,1e-08,34.92233960237354,160359689
locgd,797,0.006309573444801936,1e-08,134.68553005252033,677488589
locgd,962,0.039810717055349734,1e-08,19.709196662530303,90300324
appr,28,0.001,1e-08,1336.1061191326007,6513804519
appr,489,0.001,1e-08,1704.6550449207425,6498320319
appr,661,0.001,1e-08,1596.960139831528,6516789577
aesplocgd,609,0.003981071705534978,1e-08,13.557977717369795,293999255
appr,922,0.025118864315095808,1e-08,44.35631522163749,233508435
locgd,661,0.001584893192461114,1e-08,577.405821272172,2784845412
locgd,609,0.001584893192461114,1e-08,81.1521668843925,2784181706
aesplocgd,362,0.002511886431509582,1e-08,12.92647660896182,364717211
aespappr,0,0.01,1e-08,39.48608988896012,151767553
aesplocgd,237,0.01,1e-08,37.60109965316951,168190477
locgd,100,0.01584893192461114,1e-08,36.51019383408129,252154974
locgd,237,0.003981071705534978,1e-08,170.47198466397822,1097343911
aespappr,567,0.01584893192461114,1e-08,32.230060033500195,106520206
locgd,571,0.06309573444801933,1e-08,1.1375989420339465,7229545
aesplocgd,857,0.001584893192461114,1e-08,72.96298109274358,460025554
aesplocgd,797,0.01,1e-08,26.45774744078517,157631332
appr,857,0.039810717055349734,1e-08,19.644440479576588,129854218
aesplocgd,193,0.1,1e-08,3.1946968687698245,18263357
aespappr,800,0.01,1e-08,39.020860040560365,149951875
aesplocgd,627,0.039810717055349734,1e-08,14.843141519464552,68750590
aespappr,797,0.01,1e-08,28.395691581070423,142357282
locgd,654,0.025118864315095808,1e-08,28.62562546413392,159167258
aespappr,407,0.001,1e-08,137.10949209984392,572159632
aespappr,962,0.025118864315095808,1e-08,17.981777996756136,79919273
appr,725,0.003981071705534978,1e-08,293.34453449305147,1615110623
appr,857,0.002511886431509582,1e-08,548.2151356972754,2579213555
locgd,969,0.01584893192461114,1e-08,60.562501933425665,260104230
aespappr,391,0.01,1e-08,33.785021897405386,150399986
aesplocgd,609,0.06309573444801933,1e-08,7.679466218687594,38716343
locgd,362,0.003981071705534978,1e-08,98.35555770527571,1095757777
aesplocgd,380,0.1,1e-08,6.362611207179725,24877733
aespappr,567,0.001,1e-08,177.0921810111031,567711821
locgd,922,0.006309573444801936,1e-08,104.78638354223222,684098145
aesplocgd,100,0.025118864315095808,1e-08,14.319665796123445,76959079
appr,233,0.001,1e-08,1233.2285462357104,6508624964
aespappr,788,0.006309573444801936,1e-08,53.63200874719769,198028320
