node,alpha,method,runtime_ratio,operation_ratio
0,0.001,appr,7.728318614051703,11.377262565586886
0,0.001,locgd,4.020686556324338,7.58143259466426
0,0.0015848931924611,appr,9.018253673013666,9.150553965236144
0,0.0015848931924611,locgd,12.416466284855735,6.049828436629385
0,0.0025118864315095,appr,4.674123725223357,7.484825906172933
0,0.0025118864315095,locgd,3.7303834931992337,4.798134410616046
0,0.0039810717055349,appr,5.237793495597225,6.13662136425317
0,0.0039810717055349,locgd,2.763799272359208,3.7524193704325617
0,0.0063095734448019,appr,3.7033468846764026,5.069888993695322
0,0.0063095734448019,locgd,3.437561112782346,3.0614305076885286
0,0.01,appr,2.6541488312702626,4.185814269536256
0,0.01,locgd,1.8474824979306663,2.5725475274685907
0,0.0158489319246111,appr,2.629586759086968,3.4792955264625163
0,0.0158489319246111,locgd,2.53454713785644,2.175094948633869
0,0.0251188643150958,appr,2.4757893342090003,3.006240959650265
0,0.0251188643150958,locgd,2.076761881951426,1.832273845483134
0,0.0398107170553497,appr,3.4145448737123822,2.5226794790361606
0,0.0398107170553497,locgd,2.0521579763544318,1.5223152132099473
0,0.0630957344480193,appr,2.4458895453952407,2.2652079942088608
0,0.0630957344480193,locgd,1.2253384557975195,1.158870922585451
0,0.1,appr,1.505613755600341,1.9410913256340498
0,0.1,locgd,1.5437947923468711,0.8827546525835781
27,0.001,appr,7.559446810899787,11.394377539132709
27,0.001,locgd,6.480695307468102,7.5659436537903035
27,0.0015848931924611,appr,22.929627304236757,9.203108738220667
27,0.0015848931924611,locgd,18.029710847163905,5.995912327957561
27,0.0025118864315095,appr,7.39522089724891,7.579323454571835
27,0.0025118864315095,locgd,4.297302745114628,4.767982999356381
27,0.0039810717055349,appr,4.355842073249146,6.098812386376689
27,0.0039810717055349,locgd,3.4365504720135482,3.6760418562942774
27,0.0063095734448019,appr,4.008356011712009,4.987342511962125
27,0.0063095734448019,locgd,3.3793007457720554,3.069117800550437
27,0.01,appr,2.813046282992479,4.13614000435304
27,0.01,locgd,2.086762285618493,2.5156341301962377
27,0.0158489319246111,appr,3.186506765583222,3.4654147801283535
27,0.0158489319246111,locgd,2.4824442522489822,2.1283293116377053
27,0.0251188643150958,appr,2.4803910403171807,2.743873022168655
27,0.0251188643150958,locgd,2.2439545117779205,1.7764154679655846
27,0.0398107170553497,appr,1.9034311578860594,2.429487266913689
27,0.0398107170553497,locgd,1.2401569142328162,1.3816023686835162
27,0.0630957344480193,appr,1.8631355169633865,2.1785934559961073
27,0.0630957344480193,locgd,1.1272021300055106,1.121288496068818
27,0.1,appr,1.8070500707292367,1.9130639900935196
27,0.1,locgd,0.8067547229173755,0.8808783036400477
28,0.001,appr,6.955193995782055,11.40880562211427
28,0.001,locgd,6.468931850943972,7.552080133539535
28,0.0015848931924611,appr,19.068225868012252,9.224396010025888
28,0.0015848931924611,locgd,16.515585480993508,6.037292467305708
28,0.0025118864315095,appr,5.34671330389377,7.480908297437876
28,0.0025118864315095,locgd,5.648715777760272,4.761821520863192
28,0.0039810717055349,appr,4.604239436567079,6.08984501246328
28,0.0039810717055349,locgd,4.071333815746739,3.6944705430578524
28,0.0063095734448019,appr,4.39255785976563,4.942876480398241
28,0.0063095734448019,locgd,3.0357196713159764,3.0628046429328584
28,0.01,appr,1.8535273475932608,4.189087023865256
28,0.01,locgd,2.765139426268013,2.5724199563976016
28,0.0158489319246111,appr,2.7677886087022605,3.535017086863315
28,0.0158489319246111,locgd,2.9118947833708355,2.1736947942379388
28,0.0251188643150958,appr,2.250160854299209,2.9421661923739193
28,0.0251188643150958,locgd,2.4693026023987183,1.8331100174679624
28,0.0398107170553497,appr,4.678991718971215,2.4487908255004074
28,0.0398107170553497,locgd,2.37053969296263,1.4687801830742702
28,0.0630957344480193,appr,1.3660876785566731,2.1541634880094236
28,0.0630957344480193,locgd,0.8462794694234959,1.143046982238762
28,0.1,appr,1.2417116473036405,1.9451388617822032
28,0.1,locgd,0.8902898990147201,0.8551142081187385
31,0.001,appr,6.876266798195146,11.690097661451324
31,0.001,locgd,5.244524802460604,7.765200088571927
31,0.0015848931924611,appr,28.82212497049984,9.471439554205864
31,0.0015848931924611,locgd,19.30768458236065,6.245709517181604
31,0.0025118864315095,appr,16.49306031335072,7.975060154806203
31,0.0025118864315095,locgd,13.326920131118296,5.01866721885034
31,0.0039810717055349,appr,3.099926353123792,6.677649238808637
31,0.0039810717055349,locgd,2.575300941891755,4.079659458871306
31,0.0063095734448019,appr,6.132948354747988,5.6243631008310295
31,0.0063095734448019,locgd,4.996648195673544,3.414797473263644
31,0.01,appr,4.578132800151685,4.865959646181419
31,0.01,locgd,4.8298123167751585,2.915521598561962
31,0.0158489319246111,appr,3.496469073449719,3.966149918972069
31,0.0158489319246111,locgd,2.09885562356914,2.3943547760340187
31,0.0251188643150958,appr,2.413847338374105,3.161152748929778
31,0.0251188643150958,locgd,1.6112356734210354,1.7885496579640752
31,0.0398107170553497,appr,2.016059294507563,2.3701726356871298
31,0.0398107170553497,locgd,0.8928369272213094,1.1590457280719204
31,0.0630957344480193,appr,2.0301797605681426,1.4074516018080714
31,0.0630957344480193,locgd,1.2999398403761266,0.765168928292339
31,0.1,appr,1.2221017351584471,0.9858080753770442
31,0.1,locgd,0.4371691010302919,0.6108422218720289
44,0.001,appr,8.148339725922682,11.414041950570754
44,0.001,locgd,4.739832848116716,7.604183579106506
44,0.0015848931924611,appr,7.543584759544402,9.247382556720252
44,0.0015848931924611,locgd,6.800892764711689,6.018478140543249
44,0.0025118864315095,appr,6.278401074685727,7.602235485795724
44,0.0025118864315095,locgd,6.392283285489996,4.815025690990365
44,0.0039810717055349,appr,5.5440690369798835,6.279151371660228
44,0.0039810717055349,locgd,4.6852501324140965,3.7912136788292803
44,0.0063095734448019,appr,4.662199931611365,5.168651533533718
44,0.0063095734448019,locgd,4.336642648594948,3.15877089898338
44,0.01,appr,3.399648989660274,4.372612380655783
44,0.01,locgd,3.2744810457476143,2.6758010935146537
44,0.0158489319246111,appr,2.313975377046097,3.70738727457549
44,0.0158489319246111,locgd,1.6413813486147772,2.2682124999695406
44,0.0251188643150958,appr,2.739649475294698,3.1162974099065766
44,0.0251188643150958,locgd,1.932384278219565,1.976612892573123
44,0.0398107170553497,appr,2.0344017281914493,2.69101303827218
44,0.0398107170553497,locgd,1.6182204681334478,1.579221866398762
44,0.0630957344480193,appr,1.0062204136571968,2.111972110516229
44,0.0630957344480193,locgd,0.6283025856252014,1.0533005806771196
44,0.1,appr,2.895186097396223,1.537266948574226
44,0.1,locgd,0.8375637752514643,0.6823141366177775
50,0.001,appr,8.004236229336842,11.451152476767001
50,0.001,locgd,3.7054480753968386,7.5791722598585345
50,0.0015848931924611,appr,7.552892432662204,9.228299833771187
50,0.0015848931924611,locgd,6.776342972976783,6.0418794411480965
